133*{'text': 'Sextus Julius Severus, governor of Britain, is sent to Judea (from 136 renamed Syria Palaestina) to quell a revolt.', 'self': False, 'pos': 'NP'}
132*{'text': "The Temple of Olympian Zeus (Athens) is completed using Cossutius' design.", 'self': False, 'pos': 'DET'}
132*{'text': 'The messianic, charismatic Jewish leader Simon bar Kokhba starts a war of liberation for Judea (Bar Kokhba revolt) against the Romans, which is eventually crushed (in 135) by emperor Hadrian.', 'self': False, 'pos': 'DET'}
132*{'text': 'The legion X Fretensis must evacuate Jerusalem, returning to Caesarea.', 'self': False, 'pos': 'DET'}
132*{'text': 'Change of era name from Yongjian (7th year) to Yangjia of the Chinese Han Dynasty.', 'self': False, 'pos': 'NP'}
131*{'text': 'Emperor Hadrian builds the city Aelia Capitolina on the location of Jerusalem.', 'self': False, 'pos': 'NP'}
131*{'text': "The Praetor's Edict is definitively codifed by Salvius Julianus on Hadrian's orders.", 'self': False, 'pos': 'DET'}
131*{'text': 'Edict of Hadrian prohibiting the practice of circumcision.', 'self': False, 'pos': 'NP'}
130*{'text': 'A law is passed in Rome banning the execution of slaves without a trial.', 'self': False, 'pos': 'DET'}
130*{'text': 'The Temple of Olympian Zeus is completed at Athens.', 'self': False, 'pos': 'DET'}
130*{'text': 'Emperor Hadrian visits the cities Petra and Gerasa (Jerash).', 'self': False, 'pos': 'NP'}
130*{'text': 'A Triumphal Arch for Hadrian is built in Gerasa.', 'self': False, 'pos': 'DET'}
130*{'text': "Canopus, Hadrian's Villa, Tivoli, Italy, is started to be built.", 'self': False, 'pos': 'NP'}
130*{'text': "The Hadrian's Gate in Antalya (Turkey) is constructed, Hadrian visits the city.", 'self': False, 'pos': 'DET'}
130*{'text': 'Huviska becomes king of the Kushan Empire in India.', 'self': False, 'pos': 'NP'}
130*{'text': 'The Scythian king Rudradaman I reconquers from the Andhra the lands annexed by Gautamiputra.', 'self': False, 'pos': 'DET'}
130*{'text': 'Basra becomes the capital of Arabia.', 'self': False, 'pos': 'NP'}
130*{'text': 'Claudius Ptolemaeus tabulates angles of refraction for several media.', 'self': False, 'pos': 'NP'}
130*{'text': 'The Antinous Mondragone is sculpted.', 'self': False, 'pos': 'DET'}
136*{'text': 'The war against the Suebi begins.', 'self': False, 'pos': 'DET'}
136*{'text': 'Emperor Hadrian chases the Jews from Galilee and receives a triumphal arch near Scythopolis.', 'self': False, 'pos': 'NP'}
136*{'text': 'The Roman province of Iudaea (plus Galilee) becomes Syria Palaestina, the first use of the name Palestine as a designation for Judea.', 'self': False, 'pos': 'DET'}
136*{'text': 'First year of Yonghe era of the Chinese Han Dynasty.', 'self': False, 'pos': 'NP'}
136*{'text': 'Pope Hyginus succeeds Pope Telesphorus as the ninth pope.', 'self': False, 'pos': 'NP'}
136*{'text': 'Change of Patriarch of Constantinople from Patriarch Eleutherius to Patriarch Felix.', 'self': False, 'pos': 'NP'}
135*{'text': 'The Bar Kokhba revolt ends and, with it, Judean independence.', 'self': False, 'pos': 'DET'}
135*{'text': 'A Jewish diaspora begins as emperor Hadrian bars Jews from Jerusalem and has survivors of the massacre dispersed across the Roman Empire.', 'self': False, 'pos': 'DET'}
135*{'text': 'Jerusalem is renamed Colonia Aelia Capitolina, in honor of Hadrian.', 'self': False, 'pos': 'NP'}
135*{'text': 'An altar to Jupiter is erected on the site of the Temple in Jerusalem.', 'self': False, 'pos': 'DET'}
135*{'text': "Canopus, Hadrian's Villa, Tivoli, Italy, is finished.", 'self': False, 'pos': 'NP'}
135*{'text': 'Epictetus writes the Enchiridion (approximate date).', 'self': False, 'pos': 'NP'}
134*{'text': 'A law improving the lot of free workers is passed in Rome.', 'self': False, 'pos': 'DET'}
134*{'text': 'Arrianus, Roman governor of Cappadocia, repulses an attack of the Alani, a nomadic tribe from southeastern Russia.', 'self': False, 'pos': 'NP'}
134*{'text': 'Sextus Julius Severus, governor of Judea, begins in the summer a campaign against the Jewish rebel strongholds in the mountains.', 'self': False, 'pos': 'NP'}
134*{'text': 'The Romans retake Jerusalem.', 'self': False, 'pos': 'DET'}
134*{'text': 'A university of rhetoric, law and philosophy, the Athenaeum, opens in Rome.', 'self': False, 'pos': 'DET'}
139*{'text': 'The Tomb of Hadrian in Rome is completed, emperor Antoninus Pius cremates the body of Hadrian and placed his ashes together with that of his wife Vibia Sabina and his adopted son, Lucius Aelius in the mausoleum.', 'self': False, 'pos': 'DET'}
139*{'text': 'Marcus Aurelius is named Caesar.', 'self': False, 'pos': 'NP'}
139*{'text': 'Antoninus Augustus Pius and Caius Bruttius Praesens become Roman Consuls.', 'self': False, 'pos': 'NP'}
138*{'date': 'February 25', 'text': 'Emperor Hadrian makes Antoninus Pius his successor, on condition that he adopts Marcus Aurelius and Lucius Verus.', 'self': False, 'pos': 'NP'}
138*{'text': 'Antoninus Pius succeeds Hadrian as Roman Emperor and asks the Senate to confer divine honors for Hadrian.', 'self': False, 'pos': 'NP'}
138*{'text': 'The silver content of the Roman denarius falls to 75 percent under emperor Antoninus Pius, down from 87 percent under the reign of Hadrian.', 'self': False, 'pos': 'DET'}
120*{'text': 'Emperor Hadrian visits Britain.', 'self': False, 'pos': 'NP'}
120*{'text': 'Foss Dyke is constructed in Britain.', 'self': False, 'pos': 'NP'}
120*{'text': 'An Indian ambassadorial contingent visits with Hadrian.', 'self': False, 'pos': 'DET'}
120*{'text': "Suetonius becomes Hadrian's secretary ab epistolis.", 'self': False, 'pos': 'NP'}
120*{'text': 'Change of era name from Yuanchu (7th year) to Yongning of the Chinese Eastern Han Dynasty.', 'self': False, 'pos': 'NP'}
121*{'text': 'Emperor Hadrian fixes the border between Roman Britain and Caledonia on a line running from the River Tyne to the Solway Firth.', 'self': False, 'pos': 'NP'}
121*{'text': 'Era name changes from Yongning (2nd year) to Jianguang in the Chinese Eastern Han Dynasty.', 'self': False, 'pos': 'NP'}
122*{'text': 'Emperor Hadrian orders that a 73-mile (117-kilometer) wall be built to mark the northern Roman Empire.', 'self': False, 'pos': 'NP'}
122*{'text': 'Vindolanda a Roman auxiliary fort (castrum) in northern England is garrisoned by cohort VIIII Batavorum.', 'self': False, 'pos': 'NP'}
122*{'date': 'September 13', 'text': "The building of Hadrian's Wall begins.", 'self': False, 'pos': 'DET'}
122*{'text': 'Change of era name from Jianguang (2nd year) to Yanguang of the Chinese Eastern Han Dynasty.', 'self': False, 'pos': 'NP'}
123*{'text': 'Emperor Hadrian averts a war with Parthia by a personal meeting with Osroes I.', 'self': False, 'pos': 'NP'}
123*{'text': 'Mug Nuadat defeats the High King of Ireland, Conn of the Hundred Battles.', 'self': False, 'pos': 'NP'}
123*{'text': 'The Chinese government establishes Aide of the Western Regions over the Tarim Basin.', 'self': False, 'pos': 'DET'}
124*{'text': 'Emperor Hadrian begins to rebuild the Olympeion in Athens.', 'self': False, 'pos': 'NP'}
125*{'text': 'The Pantheon is constructed in (Rome) as it stands today by Hadrian.', 'self': False, 'pos': 'DET'}
125*{'text': 'Emperor Hadrian establishes the Panhellenion.', 'self': False, 'pos': 'NP'}
125*{'text': 'Plague sweeps North Africa in the wake of a locust invasion that destroys large areas of cropland.', 'self': False, 'pos': 'NP'}
125*{'text': 'Change of emperor of the Chinese Han Dynasty from Han Andi to Marquis of Beixiang, then to Han Shundi.', 'self': False, 'pos': 'NP'}
125*{'text': 'Gautamiputra Satakarni, a king of the Andhra dynasty, destroys the kingdom of Maharashtra near Bombay.', 'self': False, 'pos': 'NP'}
125*{'text': 'Zhang Heng of Han Dynasty China invents a hydraulic-powered armillary sphere.', 'self': False, 'pos': 'NP'}
125*{'text': 'The Satires of Juvenal intimate that bread and circuses (panem et circenses) keep the Roman people happy.', 'self': False, 'pos': 'DET'}
125*{'text': 'Pope Telesphorus succeeds Pope Sixtus I as the eighth pope.', 'self': False, 'pos': 'NP'}
126*{'text': 'First year of the Yongjian era of the Chinese Han Dynasty.', 'self': False, 'pos': 'NP'}
127*{'text': 'Emperor Hadrian returns to Rome after a seven year voyage to the Roman provinces.', 'self': False, 'pos': 'NP'}
127*{'text': 'Kanishka I starts to rule in Kushan Empire (approximate date).', 'self': False, 'pos': 'NP'}
127*{'text': 'The philosopher Carpocrates rejects ownership of private property as being un-Christian.', 'self': False, 'pos': 'DET'}
128*{'text': 'Emperor Hadrian visits the Roman province of North Africa, in order to inspect Legio III Augusta stationed at Lambaesis.', 'self': False, 'pos': 'NP'}
128*{'text': 'The fossils of large prehistoric animals are discovered in Dalmatia.', 'self': False, 'pos': 'DET'}
128*{'text': 'Pantheon, Rome is finished.', 'self': False, 'pos': 'NP'}
